frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
0,$4008_linear,0
0,$400C_const,1
0,$400C_vol,0
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,0
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,0
1,$4008_linear,0
1,$400C_const,1
1,$400C_vol,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$4008_linear,0
2,$400C_const,1
2,$400C_vol,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
3,$4008_linear,0
3,$400C_const,1
3,$400C_vol,0
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
4,$4008_linear,0
4,$400C_const,1
4,$400C_vol,0
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,0
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
5,$4008_linear,0
5,$400C_const,1
5,$400C_vol,0
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,0
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,0
6,$4008_linear,0
6,$400C_const,1
6,$400C_vol,0
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,0
7,$4008_linear,0
7,$400C_const,1
7,$400C_vol,0
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,0
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,0
8,$4008_linear,0
8,$400C_const,1
8,$400C_vol,0
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,0
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
9,$4008_linear,0
9,$400C_const,1
9,$400C_vol,0
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,0
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
10,$4008_linear,0
10,$400C_const,1
10,$400C_vol,0
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,0
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,0
11,$4008_linear,0
11,$400C_const,1
11,$400C_vol,0
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,0
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
12,$4008_linear,0
12,$400C_const,1
12,$400C_vol,0
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,0
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
13,$4008_linear,0
13,$400C_const,1
13,$400C_vol,0
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,0
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
14,$4008_linear,0
14,$400C_const,1
14,$400C_vol,0
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,0
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
15,$4008_linear,0
15,$400C_const,1
15,$400C_vol,0
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,0
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
16,$4008_linear,0
16,$400C_const,1
16,$400C_vol,0
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,0
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
17,$4008_linear,0
17,$400C_const,1
17,$400C_vol,0
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,0
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,0
18,$4008_linear,0
18,$400C_const,1
18,$400C_vol,0
19,$4000_duty,0
19,$4000_const,1
19,$4000_vol,0
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,0
19,$4008_linear,0
19,$400C_const,1
19,$400C_vol,0
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
20,$4008_linear,0
20,$400C_const,1
20,$400C_vol,0
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,0
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,0
21,$4008_linear,0
21,$400C_const,1
21,$400C_vol,0
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,0
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,0
22,$4008_linear,0
22,$400C_const,1
22,$400C_vol,0
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,0
23,$4008_linear,0
